[01:27:22]	Г@H3NK has connected.
[01:33:34]	Г@H3NK loaded the character 'D47.MPF-DvL.514'
[01:36:06]	D47.MPF-DvL.514 has spawned a 'NPC [1377][npc_combine_s]'.
[01:36:08]	D47.MPF-DvL.514 has taken 14 damage from npc_combine_s.
[01:36:08]	D47.MPF-DvL.514 has taken 14 damage from npc_combine_s.
[01:36:12]	D47.MPF-DvL.514 has spawned a 'NPC [508][npc_combine_s]'.
[01:36:14]	D47.MPF-DvL.514 has taken 14 damage from npc_combine_s.
[01:36:17]	D47.MPF-DvL.514 has taken 14 damage from npc_combine_s.
[01:36:50]	D47.MPF-DvL.514 has spawned a 'NPC [1378][npc_metropolice]'.
[01:36:52]	D47.MPF-DvL.514 has taken 15 damage from npc_metropolice.
[01:38:34]	D47.MPF-DvL.514 has gained 50 tokens.
[01:43:34]	D47.MPF-DvL.514 has gained 50 tokens.
[01:48:39]	D47.MPF-DvL.514 has gained 50 tokens.
[01:49:41]	Г@H3NK loaded the character 'Александр Климов'
[01:50:44]	Александр Климов ran 'EquipUn' on item 'Форма сопротивления' (#403)
[01:50:52]	Александр Климов ran 'Equip' on item 'Форма сопротивления' (#403)
[02:02:42]	Г@H3NK loaded the character 'D47.MPF-DvL.514'
[02:02:44]	D47.MPF-DvL.514 ran 'Equip' on item 'Броня ГО' (#415)
[02:02:48]	D47.MPF-DvL.514 ran 'EquipUn' on item 'Броня ГО' (#415)
[02:02:50]	D47.MPF-DvL.514 ran 'Equip' on item 'Броня ГО' (#415)
[02:02:53]	D47.MPF-DvL.514 ran 'EquipUn' on item 'Броня ГО' (#415)
[02:02:54]	D47.MPF-DvL.514 ran 'Equip' on item 'Броня ГО' (#415)
[02:02:58]	D47.MPF-DvL.514 ran 'EquipUn' on item 'Броня ГО' (#415)
[02:03:21]	D47.MPF-DvL.514 ran 'Equip' on item 'Броня ГО' (#415)
[02:03:22]	D47.MPF-DvL.514 ran 'EquipUn' on item 'Броня ГО' (#415)
[02:04:46]	D47.MPF-DvL.514 used command '/PlyWhitelist D47 administrator'.
[02:04:54]	D47.MPF-DvL.514 used command '/PlyWhitelist D47 vortigonts'.
[02:05:01]	D47.MPF-DvL.514 ran 'drop' on item 'Картонная коробка' (#366)
[02:05:01]	D47.MPF-DvL.514 has lost a 'Картонная коробка' #366.
[02:05:01]	D47.MPF-DvL.514 has lost a 'Граната' #411.
[02:05:03]	D47.MPF-DvL.514 ran 'take' on item 'Картонная коробка' (#366)
[02:05:03]	D47.MPF-DvL.514 has gained a 'Картонная коробка' #366.
[02:05:03]	D47.MPF-DvL.514 has gained a 'Граната' #411.
[02:08:56]	D47.MPF-DvL.514 has spawned 'models/player/labcoats/male_02.mdl'.
[02:08:59]	D47.MPF-DvL.514 has spawned 'models/humans/labcoats/male_09.mdl'.
[02:09:04]	D47.MPF-DvL.514 has spawned 'models/player/labcoats/male_04.mdl'.
[02:09:06]	D47.MPF-DvL.514 entered observer.
[02:09:07]	D47.MPF-DvL.514 exited observer at their location.
[02:11:08]	Г@H3NK loaded the character 'Александр Климов'
[02:11:14]	Александр Климов has spawned 'models\Humans/Group03m/Male_01.mdl'.
[02:11:25]	Александр Климов has spawned 'models\Humans/Group03/Male_04.mdl'.
[02:11:41]	Александр Климов has spawned 'models/player/group03/male_07.mdl'.
[02:15:05]	Александр Климов used command '/Dispatch ANTI-CITIZEN'.
[02:15:11]	Александр Климов entered observer.
[02:15:28]	Александр Климов exited observer at their location.
[02:15:36]	Александр Климов entered observer.
[02:15:38]	Александр Климов exited observer at their location.
[02:16:23]	Александр Климов entered observer.
[02:16:25]	Александр Климов exited observer at their location.
[02:16:33]	Александр Климов entered observer.
[02:16:35]	Александр Климов exited observer at their location.
[02:18:21]	Александр Климов has spawned a 'Entity [1377][ent_jack_gmod_ezammo]'.
[02:18:28]	Александр Климов entered observer.
[02:18:31]	Александр Климов exited observer at their location.
[02:18:34]	Александр Климов entered observer.
[02:18:36]	Александр Климов exited observer at their location.
[02:18:38]	Александр Климов has spawned a 'Entity [1377][entity_tank_editable]'.
[02:18:40]	Александр Климов entered observer.
[02:18:43]	Александр Климов has spawned a 'Entity [1377][entity_tank_editable]'.
[02:18:44]	Александр Климов exited observer at their location.
[02:18:55]	Александр Климов entered observer.
[02:18:55]	Александр Климов exited observer at their location.
[02:21:35]	Александр Климов entered observer.
[02:21:54]	Александр Климов exited observer at their location.
[02:21:57]	Александр Климов entered observer.
[02:21:58]	Александр Климов exited observer at their location.
[02:22:20]	Александр Климов entered observer.
[02:22:25]	Александр Климов exited observer at their location.
[02:24:17]	Александр Климов has taken 30 damage from Александр Климов.
[02:24:26]	Александр Климов has taken 8 damage from Александр Климов.
[02:24:26]	Александр Климов has taken 8 damage from Александр Климов.
[02:24:26]	Александр Климов has taken 8 damage from Александр Климов.
[02:24:26]	Александр Климов has taken 8 damage from Александр Климов.
[02:24:26]	Александр Климов has taken 8 damage from Александр Климов.
[02:24:29]	Александр Климов has taken 8 damage from Александр Климов.
[02:24:29]	Александр Климов has taken 8 damage from Александр Климов.
[02:24:29]	Александр Климов has taken 30 damage from Александр Климов.
[02:24:29]	Александр Климов has killed Александр Климов.
[02:24:31]	Александр Климов entered observer.
[02:24:39]	Александр Климов exited observer at their location.
[02:27:27]	Александр Климов ran 'Equip' on item 'M9' (#307)
[02:27:57]	Александр Климов entered observer.
[02:28:00]	Александр Климов exited observer at their location.
[02:28:20]	Александр Климов entered observer.
[02:28:30]	Александр Климов exited observer at their location.
[02:28:53]	Александр Климов entered observer.
[02:29:01]	Александр Климов exited observer at their location.
[02:29:52]	Александр Климов entered observer.
[02:30:00]	Александр Климов has spawned a 'Entity [1395][ix_forcefield]'.
[02:30:02]	Александр Климов has spawned a 'Entity [507][ix_forcefield]'.
[02:30:06]	Александр Климов has spawned a 'Entity [507][ix_forcefield]'.
[02:30:10]	Александр Климов has spawned a 'Entity [1395][ix_forcefield]'.
[02:30:13]	Александр Климов has spawned a 'Entity [1395][ix_forcefield]'.
[02:30:27]	Александр Климов exited observer at their location.
[02:30:32]	Г@H3NK loaded the character 'D47.MPF-DvL.514'
[02:30:32]	D47.MPF-DvL.514 entered observer.
[02:30:39]	D47.MPF-DvL.514 exited observer at their location.
[02:30:43]	D47.MPF-DvL.514 entered observer.
[02:31:11]	D47.MPF-DvL.514 exited observer at their location.
[02:31:12]	D47.MPF-DvL.514 has spawned a 'Entity [34][ix_combinelock]'.
[02:31:13]	D47.MPF-DvL.514 entered observer.
[02:31:15]	D47.MPF-DvL.514 exited observer at their location.
[02:31:16]	D47.MPF-DvL.514 has spawned a 'Entity [508][ix_combinelock]'.
[02:31:17]	D47.MPF-DvL.514 entered observer.
[02:31:35]	D47.MPF-DvL.514 exited observer at their location.
[02:31:36]	D47.MPF-DvL.514 has spawned a 'Entity [34][ix_combinelock]'.
[02:31:38]	D47.MPF-DvL.514 entered observer.
[02:31:39]	D47.MPF-DvL.514 exited observer at their location.
[02:31:39]	D47.MPF-DvL.514 has spawned a 'Entity [34][ix_combinelock]'.
[02:31:42]	D47.MPF-DvL.514 entered observer.
[02:31:59]	D47.MPF-DvL.514 exited observer at their location.
[02:31:59]	D47.MPF-DvL.514 has spawned a 'Entity [508][ix_combinelock]'.
[02:32:00]	D47.MPF-DvL.514 entered observer.
[02:32:02]	D47.MPF-DvL.514 exited observer at their location.
[02:32:02]	D47.MPF-DvL.514 has spawned a 'Entity [508][ix_combinelock]'.
[02:32:05]	D47.MPF-DvL.514 entered observer.
[02:32:06]	D47.MPF-DvL.514 exited observer at their location.
[02:32:06]	D47.MPF-DvL.514 has spawned a 'Entity [508][ix_combinelock]'.
[02:32:09]	D47.MPF-DvL.514 has spawned a 'Entity [508][ix_combinelock]'.
[02:32:11]	D47.MPF-DvL.514 entered observer.
[02:32:14]	D47.MPF-DvL.514 exited observer at their location.
[02:32:16]	D47.MPF-DvL.514 entered observer.
[02:32:44]	D47.MPF-DvL.514 exited observer at their location.
[02:32:46]	D47.MPF-DvL.514 has spawned a 'Entity [1062][ix_combinelock]'.
[02:32:47]	D47.MPF-DvL.514 entered observer.
[02:32:49]	D47.MPF-DvL.514 exited observer at their location.
[02:32:50]	D47.MPF-DvL.514 has spawned a 'Entity [1376][ix_combinelock]'.
[02:32:50]	D47.MPF-DvL.514 entered observer.
[02:32:54]	D47.MPF-DvL.514 exited observer at their location.
[02:32:55]	D47.MPF-DvL.514 has spawned a 'Entity [34][ix_combinelock]'.
[02:32:55]	D47.MPF-DvL.514 entered observer.
[02:35:08]	D47.MPF-DvL.514 exited observer at their location.
[02:35:11]	D47.MPF-DvL.514 entered observer.
[02:35:12]	D47.MPF-DvL.514 exited observer at their location.
[02:35:15]	D47.MPF-DvL.514 entered observer.
[02:35:32]	D47.MPF-DvL.514 has gained 50 tokens.
[02:35:48]	D47.MPF-DvL.514 exited observer at their location.
[02:36:00]	D47.MPF-DvL.514 used command '/TextAdd ГСР 1.5'.
[02:36:01]	D47.MPF-DvL.514 entered observer.
[02:36:03]	D47.MPF-DvL.514 exited observer at their location.
[02:36:11]	D47.MPF-DvL.514 used command '/TextRemove'.
[02:37:11]	D47.MPF-DvL.514 used command '/TextAdd Гражданский Союз Рабочих'.
[02:37:25]	D47.MPF-DvL.514 used command '/DoorSetFaction cwu'.
[02:37:41]	D47.MPF-DvL.514 used command '/DoorSetFaction citizen'.
[02:38:02]	D47.MPF-DvL.514 used command '/DoorSetClass cwu'.
[02:38:23]	D47.MPF-DvL.514 used command '/DoorSetClass civil work union'.
[02:38:39]	D47.MPF-DvL.514 used command '/DoorSetClass Гражданский Союз Рабочих'.
[02:38:48]	D47.MPF-DvL.514 entered observer.
[02:38:57]	D47.MPF-DvL.514 exited observer at their location.
[02:38:58]	D47.MPF-DvL.514 has spawned a 'Entity [1389][ix_combinelock]'.
[02:38:59]	D47.MPF-DvL.514 entered observer.
[02:39:01]	D47.MPF-DvL.514 exited observer at their location.
[02:39:02]	D47.MPF-DvL.514 has spawned a 'Entity [1389][ix_combinelock]'.
[02:39:03]	D47.MPF-DvL.514 entered observer.
[02:39:05]	D47.MPF-DvL.514 exited observer at their location.
[02:39:06]	D47.MPF-DvL.514 has spawned a 'Entity [507][ix_combinelock]'.
[02:39:07]	D47.MPF-DvL.514 entered observer.
[02:39:14]	D47.MPF-DvL.514 exited observer at their location.
[02:39:15]	D47.MPF-DvL.514 has spawned a 'Entity [1392][ix_combinelock]'.
[02:39:17]	D47.MPF-DvL.514 entered observer.
[02:39:21]	D47.MPF-DvL.514 exited observer at their location.
[02:39:33]	D47.MPF-DvL.514 has spawned 'models/props_trainstation/BenchOutdoor01a.mdl'.
[02:39:40]	D47.MPF-DvL.514 has spawned 'models/props_trainstation/bench_indoor001a.mdl'.
[02:39:56]	D47.MPF-DvL.514 has spawned 'models/props_trainstation/traincar_seats001.mdl'.
[02:40:17]	D47.MPF-DvL.514 has spawned 'models/props_trainstation/traincar_seats001.mdl'.
[02:40:32]	D47.MPF-DvL.514 has gained 50 tokens.
[02:40:57]	D47.MPF-DvL.514 has spawned 'models/props_canal/canalmap001.mdl'.
[02:41:09]	D47.MPF-DvL.514 has spawned 'models/props_canal/canalmap001.mdl'.
[02:41:57]	D47.MPF-DvL.514 has spawned 'models/props_wasteland/controlroom_chair001a.mdl'.
[02:42:13]	D47.MPF-DvL.514 has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[02:42:32]	D47.MPF-DvL.514 has spawned 'models/props_interiors/Furniture_Couch02a.mdl'.
[02:42:50]	D47.MPF-DvL.514 has spawned 'models/props_interiors/Furniture_Desk01a.mdl'.
[02:43:14]	D47.MPF-DvL.514 has spawned 'models/props_lab/cactus.mdl'.
[02:43:41]	D47.MPF-DvL.514 has spawned 'models/hunter/plates/plate075x1.mdl'.
[02:43:46]	D47.MPF-DvL.514 has spawned 'models/hunter/plates/plate075x105.mdl'.
[02:45:32]	D47.MPF-DvL.514 has gained 50 tokens.
[02:45:42]	D47.MPF-DvL.514 has spawned 'models/props_interiors/SinkKitchen01a.mdl'.
